Qty,Value,Device,Package,Parts,Description,AVAILABILITY,CENTERLINE_PITCH,CHECK_PRICES,COMMENT,DESCRIPTION.1,EU_ROHS_COMPLIANCE,HOUSEPART,MF,MP,MPN,NUMBER_OF_POSITIONS,PACKAGE.1,POPULATE,PRICE,PRODUCT_TYPE,SNAPEDA_LINK,TOLERANCE,URL,VOLTAGE,Column1
1,0.1 ohm,R_R0805,R0805,R5,"RESISTOR, American symbol",,,,,,,,Panasonic,,,,,,,,,,,,
2,1k,R_R0603,R0603,"R2, R3","RESISTOR, American symbol",,,,,,,,"MacroFab, Inc.",,,,,,,,,,,,
1,220u,CAPACITOR_P_10MM,CP10MM,C1,Library:  MF_Passives,,,,,,,,,,227SMH050M,,,1,,,,,,,
1,292303-1,292303-1,TE_292303-1,J1,Type A Standard USB Connector 4 Position Right Angle Mount 1 Port | TE Connectivity,In Stock,2 mm[.078 in],https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,292303-1,                                                      Type A Standard USB Connector 4 Position Right Angle Mount 1 Port | TE Connectivity 292303-1                                              ,Compliant,,TE Connectivity,292303-1,,4,None,,None,Connector,https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=snap,,,,
1,BLUE_LED,LED,EIA-STD,D1,"EIA-STD LED, LTST-C191TBKT",,,,,,,,,,LTST-C191TBKT,,,,,,,,,,
6,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6",Fiducial 40 mil diameter,,,,,,,,TE Connectivity,,,,,,,,,,,,
1,GREEN_LED,LED,EIA-STD,D2,"EIA-STD LED, LTST-C191TBKT",,,,,,,,,,LTST-C191TGKT,,,,,,,,,,
4,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,"MGT1, MGT2, MGT3, MGT4",Chassis Mounting Hole w/GND connection ability,,,,,,,,Texas Instruments,,2516672,,,,,,,,,,
1,POCKETBEAGLE,POCKETBEAGLE,POCKETBEAGLE,U1,PocketBeagle - Pocket Size BeagleBone Linux Computer,,,,,,,,Adafruit Industries,,,,,,,,,,,,
2,POTENTIOMETER,POTENTIOMETER,POT-PO90S,"R1, R4",Potentiometer - Examples: P090S-14T20BR10K (987-1277-ND),,,,,,,,,,P090S-14T20BR10K,,,,,,,,,,
2,PUSH_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,"SW1, SW2",Colorful Round Tactile Button Switch,,,,,,,,Adafruit Industries,,,,,,,,,,,,
1,RED_LED,LED,EIA-STD,D3,"EIA-STD LED, LTST-C191TBKT",,,,,,,,,,LTST-C191KRKT,,,,,,,,,,
1,SPI_SCREEN,SPI_SCREEN,MODULE_1770,U2,2.8 TFT LCD with Touchscreen Breakout Board w/MicroSD Socket | Adafruit Industries 1770 ,In Stock,,https://www.snapeda.com/parts/1770/Adafruit+Industries/view-part/?ref=eda,,                                                      2.8 TFT LCD with Touchscreen Breakout Board w/MicroSD Socket | Adafruit Industries 1770                                              ,,,Adafruit Industries,1770,,,None,,None,,https://www.snapeda.com/parts/1770/Adafruit+Industries/view-part/?ref=snap,,,,
